Идентификатор;Номер заказа;Ид. реактива;Ид. заказчика;Вес в граммах;Дата заказа;Ид. магазина;Стоимость партии
417;WF933969EL;1943;60;294.649;2011-03-18;3;24850107.362
418;WF933969EL;332;60;979.259;2011-03-18;3;69314889.797
419;KQ080278SH;290;71;704.106;2015-06-09;7;41278214.25
420;KQ080278SH;132;71;932.124;2015-06-09;7;47201827.236
421;KQ080278SH;1507;71;227.923;2015-06-09;7;8085796.348
422;OW600263ED;1702;48;13.626;2014-08-04;5;1032891.678
423;OW600263ED;556;48;680.098;2014-08-04;5;56661004.673999995
424;OW600263ED;1625;48;837.846;2014-08-04;5;76059659.88
425;VS600585GT;1189;41;121.111;2011-07-08;8;3878943.108
426;VS600585GT;343;41;55.066;2011-07-08;8;4518826.092
427;BW095577LU;282;59;832.101;2011-02-11;8;72374480.778
428;KK781691RH;109;33;936.088;2012-05-17;1;73265735.58399999
429;FY456628DY;1835;27;511.291;2017-07-12;2;30194290.005
430;ZT374698LQ;887;66;100.195;2011-05-18;0;5836058.165
431;ZT374698LQ;233;66;946.834;2011-05-18;0;19822916.623999998
432;DC730272UQ;498;12;404.939;2015-04-23;1;405748.878
433;NQ358894FI;1674;81;319.474;2011-11-24;3;21265147.862
434;RZ890256LE;664;77;94.933;2015-09-13;6;8541881.474000001
435;RZ890256LE;670;77;190.432;2015-09-13;6;223186.30399999997
436;RZ890256LE;1650;77;920.044;2015-09-13;6;56165926.067999996
437;BV310805CX;1552;2;520.091;2021-11-16;1;10421583.458
438;VA789226CR;812;19;29.662;2013-07-19;8;2516049.488
439;RK005720OA;1652;52;842.69;2014-08-06;6;4817658.73
440;RK005720OA;1878;52;745.861;2014-08-06;6;36044478.686
441;RK005720OA;1706;52;361.041;2014-08-06;6;4106841.375
442;BR503544QJ;1100;62;440.132;2019-07-01;2;23330957.188
443;BR503544QJ;484;62;960.068;2019-07-01;2;72581140.8
444;BR503544QJ;1219;62;514.01;2019-07-01;2;35725237.03
445;RA022116EX;1487;42;982.981;2013-05-28;7;14268952.196
446;RA022116EX;1326;42;950.769;2013-05-28;7;17080565.085
447;HA139799VF;1570;49;977.352;2016-04-07;2;91001244.72
448;PO907042DD;386;90;209.872;2019-09-15;0;10922158.624
449;PO907042DD;1081;90;466.22;2019-09-15;0;26416025.200000003
450;PO907042DD;848;90;816.367;2019-09-15;0;44402201.129999995
451;ST125743OP;1313;1;579.098;2020-07-22;8;50243121.577999994
452;ST125743OP;322;1;190.581;2020-07-22;8;2416567.08
453;SY737599AC;1189;93;91.429;2011-12-06;8;2928288.012
454;FS000187VT;927;28;117.443;2020-10-30;6;8269279.073
455;QV122259OT;1701;17;796.079;2021-05-30;1;40034812.91
456;QV122259OT;1488;17;918.787;2021-05-30;1;36304030.731
457;QV122259OT;1261;17;352.548;2021-05-30;1;14346588.312
458;EC733429FC;1423;78;140.119;2018-07-10;8;3122692.034
459;EC733429FC;1190;78;33.625;2018-07-10;8;2844708.625
460;EC733429FC;515;78;262.659;2018-07-10;8;487495.104
461;PY373243FB;896;72;760.216;2020-07-28;6;17477365.84
462;PY373243FB;1382;72;73.2;2020-07-28;6;6072452.4
463;SC737852TB;1443;24;913.251;2022-04-30;0;36607666.335
464;SC737852TB;1658;24;420.683;2022-04-30;0;8374536.481
465;SC737852TB;365;24;867.901;2022-04-30;0;16002358.637999998
466;AM684386CX;310;30;80.964;2022-02-10;7;2469563.928
467;LN009889LR;986;26;892.09;2011-10-12;1;39540105.07
468;SV702872AO;1830;9;11.845;2019-04-21;1;978704.9700000001
469;YW078611JM;765;82;964.026;2014-08-24;0;72915070.536
470;MK181657KE;1731;84;130.82;2018-04-11;3;8189332.0
471;LK635965XH;1612;52;359.021;2015-11-19;3;17844779.784
472;LK635965XH;662;52;398.859;2015-11-19;3;25147661.091
473;LK635965XH;198;52;283.951;2015-11-19;3;14572649.271000002
474;FS573695FY;256;72;539.324;2013-12-01;4;9983965.887999998
475;PP271168MF;1342;51;450.881;2021-12-06;4;29832541.365
476;PP271168MF;945;51;212.994;2021-12-06;4;1292447.592
477;TH941681QH;663;88;743.61;2014-02-18;5;73871704.62
478;VT025505RU;413;10;210.117;2015-03-19;2;15117918.149999999
479;YV372162WX;1385;87;573.573;2014-08-18;0;23896771.899
480;YV372162WX;720;87;656.758;2014-08-18;0;30158984.118
481;YV372162WX;1364;87;800.229;2014-08-18;0;26177091.048
482;NL786472EI;327;29;319.99;2011-05-27;5;20346884.14
483;NL786472EI;1570;29;914.281;2011-05-27;5;85128703.91
484;NL786472EI;1265;29;401.43;2011-05-27;5;12132418.89
485;LC159352HU;268;79;31.089;2022-11-28;2;356653.008
486;LC159352HU;1730;79;364.325;2022-11-28;2;36031742.5
487;CD561108RG;659;8;860.95;2014-09-20;3;30543062.200000003
488;CD561108RG;970;8;601.314;2014-09-20;3;55753834.08
489;CD561108RG;612;8;374.819;2014-09-20;3;12418503.108000001
490;VU091606IK;1596;57;974.494;2015-12-27;3;71407996.838
491;VU091606IK;183;57;335.652;2015-12-27;3;24849995.82
492;IZ389951EW;1629;87;545.344;2013-11-03;0;51476656.192
493;IZ389951EW;465;87;546.968;2013-11-03;0;43640388.848
494;IZ389951EW;1267;87;287.159;2013-11-03;0;20126112.833
495;PX876300IP;534;95;661.358;2012-04-28;4;32013033.99
496;PX876300IP;585;95;85.036;2012-04-28;4;3234769.44
497;BJ673081FW;1911;13;364.908;2014-08-22;0;14764542.588000001
498;TF027430HA;1142;66;995.124;2011-04-11;6;64403430.156
499;TF027430HA;1093;66;457.418;2011-04-11;6;12814565.27
500;IL904778SW;1652;43;811.613;2015-09-27;2;4639991.521000001
501;CE368188JO;1118;84;455.49;2016-06-17;2;14096504.52
502;CE368188JO;432;84;326.027;2016-06-17;2;20826930.787
503;CD503735OS;497;94;623.747;2016-04-30;6;18222144.858
504;CD503735OS;1329;94;315.159;2016-04-30;6;22952714.811
505;GG937864ZC;445;47;194.477;2017-10-23;1;14957615.024
506;GG937864ZC;907;47;542.642;2017-10-23;1;6834033.348
507;GG937864ZC;407;47;166.901;2017-10-23;1;3682002.961
508;CT297542CZ;1481;53;36.792;2011-12-22;1;881757.072
509;LV893235JV;1603;85;819.925;2022-08-12;3;12562890.85
510;SD819918MP;884;5;774.536;2012-07-03;0;69467359.30399999
511;SD819918MP;327;5;346.164;2012-07-03;0;22011184.104
512;II884640WU;893;24;415.929;2016-11-02;7;4119360.8159999996
513;YC187590JN;792;72;26.708;2022-09-04;0;1520726.812
514;YC187590JN;1160;72;612.54;2022-09-04;0;36772001.28
515;YC187590JN;438;72;960.156;2022-09-04;0;82069334.1
516;BM149050RV;667;62;99.237;2012-07-25;5;7254323.937
517;ZI539036LE;312;23;658.248;2019-08-17;3;44648303.592
518;ZI539036LE;1917;23;985.82;2019-08-17;3;18407231.04
519;ZI539036LE;1896;23;626.343;2019-08-17;3;20173255.344
520;JY513362IE;1490;77;818.148;2015-02-27;6;26251914.876000002
521;JY513362IE;1308;77;849.893;2015-02-27;6;14018135.142
522;EX680200VU;1216;37;154.724;2014-09-30;0;5118888.816
523;EX680200VU;929;37;507.314;2014-09-30;0;31998830.55
524;PC667015VA;177;4;465.633;2012-10-10;8;564347.196
525;DD184490ZW;1114;22;654.405;2020-05-15;1;49438334.535
526;DD184490ZW;1443;22;844.574;2020-05-15;1;33854748.79
527;DD184490ZW;77;22;853.138;2020-05-15;1;685922.952
528;KA003965ZN;1627;80;52.847;2014-10-07;2;349212.976
529;UT570523AS;1361;51;794.296;2020-06-04;4;61891544.32
530;UT570523AS;877;51;643.287;2020-06-04;4;27334551.204
531;DM895817CX;20;68;614.693;2015-01-28;1;18702034.525
532;DM895817CX;1940;68;207.392;2015-01-28;1;11724699.328
533;DM895817CX;1172;68;784.846;2015-01-28;1;59668701.996
534;NK592951JI;455;4;12.889;2015-03-21;0;1148951.238
535;UV340911GV;509;59;244.053;2012-07-26;6;20374032.546
536;UV340911GV;819;59;871.112;2012-07-26;6;45174997.208
537;UV340911GV;529;59;157.352;2012-07-26;6;6206749.640000001
538;LP410516GF;956;73;911.44;2012-01-26;6;29312821.840000004
539;LP410516GF;121;73;645.542;2012-01-26;6;20523716.806
540;LP410516GF;717;73;55.905;2012-01-26;6;1812999.1500000001
541;ZZ313523DQ;259;56;120.712;2012-02-18;1;9998092.112
542;ZZ313523DQ;207;56;608.89;2012-02-18;1;12334893.62
543;ZZ313523DQ;966;56;656.118;2012-02-18;1;48949027.27200001
544;NB959253TZ;1062;3;497.44;2013-08-23;7;20502487.04
545;NB959253TZ;1448;3;131.473;2013-08-23;7;12657431.602000002
546;NB959253TZ;922;3;15.211;2013-08-23;7;1265038.026
547;ZO312192EF;658;55;92.603;2021-08-23;2;8999066.936999999
548;ZO312192EF;1280;55;725.615;2021-08-23;2;28199575.745
549;ZO312192EF;801;55;534.273;2021-08-23;2;120211.425
550;WX845735ST;586;78;55.713;2019-05-22;8;5538540.756
551;WX845735ST;310;78;816.43;2019-05-22;8;24902747.86
552;WX845735ST;812;78;57.74;2019-05-22;8;4897737.76
553;JP932065DO;1914;6;721.779;2022-12-09;6;70682373.912
554;EW107129NL;730;4;557.059;2015-03-11;8;36861151.089
555;MC018995IN;247;83;338.194;2016-01-22;8;10217178.934
556;MC018995IN;1221;83;589.499;2016-01-22;8;24148826.535
557;MC018995IN;1617;83;499.567;2016-01-22;8;34920232.867
558;BM040331NI;1508;24;647.194;2016-07-18;2;24599843.939999998
559;DZ857592PY;48;53;774.257;2022-03-05;3;10460986.327
560;DZ857592PY;296;53;625.565;2022-03-05;3;6633491.260000001
561;DZ857592PY;1334;53;60.785;2022-03-05;3;1829628.5
562;IF207581TW;1883;45;700.39;2016-02-15;5;44466360.32
563;IF207581TW;148;45;189.846;2016-02-15;5;16754099.346
564;IF207581TW;1393;45;550.666;2016-02-15;5;39820861.124000005
565;KW130963HY;834;54;135.607;2011-06-24;4;6117502.984
566;JT012840LR;1468;9;880.761;2020-04-04;0;69060470.00999999
567;IP895914YW;426;21;619.703;2019-06-23;5;9534750.358
568;IP895914YW;1502;21;464.652;2019-06-23;5;44854716.168
569;BD269166SN;255;18;381.119;2013-11-05;8;452388.253
570;BD269166SN;966;18;435.467;2013-11-05;8;32487580.068
571;JD848704YE;1745;89;362.787;2013-11-03;4;3099289.341
572;JD848704YE;493;89;284.382;2013-11-03;4;23733668.574
573;DE025181PX;538;32;912.324;2020-11-22;3;76470085.35599999
574;DE025181PX;1230;32;227.337;2020-11-22;3;16601966.435999999
575;KI633741EG;951;56;390.457;2019-01-11;6;422474.474
576;KI633741EG;60;56;628.277;2019-01-11;6;37296407.551
577;KI633741EG;684;56;107.887;2019-01-11;6;6751244.799
578;TG189213YD;796;76;299.466;2016-02-07;5;12343689.054
579;TG189213YD;1766;76;700.65;2016-02-07;5;11768117.4
580;TG189213YD;1658;76;227.252;2016-02-07;5;4523905.564
581;FX757793BS;269;86;243.693;2013-05-12;5;17311707.027000003
582;HD250553TX;990;42;529.358;2022-03-30;7;42082372.926
583;HD250553TX;1907;42;604.101;2022-03-30;7;20050716.291
584;HD250553TX;1306;42;902.969;2022-03-30;7;2519283.5100000002
585;YB949830NR;131;44;496.495;2020-10-28;3;32323810.48
586;YB949830NR;41;44;348.204;2020-10-28;3;13252296.036
587;YB949830NR;38;44;678.77;2020-10-28;3;59083534.65
588;PW360514HB;1383;15;889.506;2013-05-16;3;71502939.81
589;PW360514HB;85;15;637.856;2013-05-16;3;34402763.36
590;PW360514HB;1044;15;612.448;2013-05-16;3;46921478.624
591;XV778233ZM;1013;23;532.029;2011-12-31;8;19721783.001
592;CF068769VR;583;50;209.331;2021-02-03;5;18791434.539
593;CF068769VR;1160;50;91.396;2021-02-03;5;5486684.672
594;CF068769VR;364;50;861.625;2021-02-03;5;78544011.75
595;DJ798108SG;956;20;734.887;2013-12-25;0;23634700.807
596;DJ798108SG;118;20;820.591;2013-12-25;0;35305927.775
597;DJ798108SG;941;20;832.133;2013-12-25;0;40514059.371
598;XW949350BT;1047;59;25.05;2020-10-26;4;1823464.6500000001
599;XW949350BT;369;59;4.108;2020-10-26;4;55868.799999999996
600;ZI923500PT;846;37;55.471;2021-10-04;8;3079361.6229999997
601;ZI923500PT;1712;37;898.4;2021-10-04;8;66781665.6
602;ZI923500PT;200;37;373.582;2021-10-04;8;30856378.871999998
603;FW507464ZP;1276;62;117.874;2020-04-21;3;4872203.916
604;FW507464ZP;1994;62;909.178;2020-04-21;3;67370089.8
605;FW507464ZP;1222;62;597.906;2020-04-21;3;53818714.871999994
606;BR461260OZ;395;6;840.574;2015-10-23;3;63446525.519999996
607;BR461260OZ;1125;6;937.56;2015-10-23;3;6184145.76
608;BR461260OZ;1465;6;724.743;2015-10-23;3;43762881.31200001
609;MQ874670FE;1301;65;578.494;2011-10-30;8;48005167.602000006
610;MQ874670FE;283;65;419.357;2011-10-30;8;9508081.261
611;MQ874670FE;382;65;54.228;2011-10-30;8;5370415.752
612;PM227457FN;1314;28;222.185;2020-09-11;5;2327387.875
613;PN092271HG;594;27;134.094;2021-02-28;6;12616502.178
614;PN092271HG;734;27;469.555;2021-02-28;6;42735139.660000004
615;PN092271HG;29;27;455.353;2021-02-28;6;3962937.159
616;LT049461WP;477;48;273.764;2021-02-28;6;3390567.14
617;LT049461WP;922;48;483.336;2021-02-28;6;40197121.776
618;LT049461WP;1334;48;402.558;2021-02-28;6;12116995.799999999
619;NZ896862QP;81;4;96.793;2018-12-14;0;308963.256
620;NZ896862QP;549;4;749.681;2018-12-14;0;59100351.954
621;YY999635JN;1202;50;217.986;2018-07-05;0;8802710.651999999
622;JG385931IO;886;30;258.255;2017-03-23;6;13984249.995
623;JG385931IO;1710;30;690.569;2017-03-23;6;46522942.960999995
624;JG385931IO;31;30;558.306;2017-03-23;6;6327840.204000001
625;ST660334XW;1851;36;921.647;2017-10-26;6;46756073.957
626;ST660334XW;941;36;968.409;2017-10-26;6;47148928.983
627;IE817860HR;833;12;209.974;2019-03-26;2;15590149.552
628;IE817860HR;1750;12;891.446;2019-03-26;2;1509218.078
629;YJ651210KK;1972;69;924.578;2021-08-02;6;60668034.626
630;JM217459ZU;1009;23;31.806;2020-03-23;3;2237742.936
631;IG959583PO;1241;29;633.909;2017-02-24;7;50920008.243
632;TX116821YW;1752;98;325.079;2013-11-26;4;9726038.601
633;IH744557HN;1626;96;22.334;2018-04-28;7;1784419.598
634;ET188202NK;413;43;597.875;2022-03-02;4;43017106.25
635;ET188202NK;1322;43;872.642;2022-03-02;4;67036358.440000005
636;ET188202NK;360;43;212.372;2022-03-02;4;18045885.956
637;NA340013MY;682;23;342.315;2012-08-08;1;8827276.905
638;NA340013MY;1114;23;20.802;2012-08-08;1;1571528.694
639;MJ691484PN;514;89;806.265;2011-04-19;0;69064659.9
640;MJ691484PN;1363;89;462.359;2011-04-19;0;17213625.57
641;MJ691484PN;932;89;972.194;2011-04-19;0;74372841.0
642;LI756348BS;1771;86;955.945;2020-05-22;2;33907369.15
643;LI756348BS;7;86;406.651;2020-05-22;2;22238523.237
644;LI756348BS;88;86;896.598;2020-05-22;2;44088413.453999996
645;TS914631KI;420;70;568.308;2013-02-07;1;31659870.372
646;TS914631KI;428;70;216.407;2013-02-07;1;3393261.7600000002
647;ZV443213FA;1301;25;857.792;2020-06-10;8;71182153.536
648;JC445485BM;394;87;362.854;2017-01-15;1;24231390.119999997
649;YJ861490JZ;415;86;199.703;2022-04-17;5;11572788.85
650;YJ861490JZ;1379;86;895.328;2022-04-17;5;47487301.791999996
651;YJ861490JZ;1996;86;292.705;2022-04-17;5;7195567.015
652;NX969272LF;4;83;79.069;2011-06-21;5;6426649.251
653;CN483327MZ;989;96;242.024;2022-07-25;0;20063305.552
654;CN483327MZ;863;96;218.365;2022-07-25;0;6364247.925
655;CN483327MZ;1005;96;951.462;2022-07-25;0;45302911.668
656;SJ252967ZN;1219;22;349.303;2011-04-06;1;24277606.408999998
657;SJ252967ZN;1813;22;659.775;2011-04-06;1;4534633.575
658;SJ252967ZN;652;22;448.945;2011-04-06;1;33113734.255
659;HN817282QV;1611;20;137.44;2014-11-05;6;12827412.64
660;HN817282QV;1861;20;829.884;2014-11-05;6;77295395.76
661;HN817282QV;1836;20;542.374;2014-11-05;6;10376699.368
662;ES935675JH;1329;12;981.445;2017-03-04;3;71477657.905
663;NU932838KF;1336;22;957.354;2020-06-15;2;87210162.63000001
664;NU932838KF;403;22;533.863;2020-06-15;2;47136899.722
665;BR986755PM;1834;90;431.151;2021-05-30;1;8241882.516
666;BR986755PM;1204;90;956.493;2021-05-30;1;37892426.688
667;BR986755PM;1830;90;209.643;2021-05-30;1;17321962.518
668;BI211709KK;1243;51;961.153;2011-04-11;8;36890013.293
669;BI211709KK;896;51;117.396;2011-04-11;8;2698934.04
670;BI211709KK;1700;51;387.572;2011-04-11;8;17548485.016
671;RG319135AH;347;3;503.058;2017-02-17;5;39230978.13
672;RG319135AH;1449;3;743.145;2017-02-17;5;12968623.395
673;LI169737JY;1932;22;730.387;2021-03-21;4;37192766.813999996
674;LI169737JY;82;22;789.637;2021-03-21;4;72825851.59899999
675;RD278786EK;1053;85;679.713;2011-01-24;1;52263132.57
676;RD278786EK;825;85;630.495;2011-01-24;1;13494484.485
677;RD278786EK;1095;85;92.304;2011-01-24;1;6311009.088
678;FB782886MR;1069;28;31.341;2014-06-11;2;1880616.705
679;WF787273ZA;1943;39;659.232;2011-02-12;8;55598308.416
680;WF787273ZA;80;39;286.84;2011-02-12;8;527211.9199999999
681;WF787273ZA;354;39;67.862;2011-02-12;8;1137570.706
682;ET479500EB;1556;54;573.163;2011-07-21;1;17593811.448
683;ET479500EB;580;54;885.946;2011-07-21;1;41153963.592
684;ET479500EB;1408;54;740.4;2011-07-21;1;23703906.0
685;AD416496EU;179;41;116.554;2013-05-26;3;5611259.222
686;VA162027QA;635;57;354.014;2020-10-06;8;28599375.004
687;LO924963OT;1529;88;862.099;2014-02-14;6;8093385.4120000005
688;SU488597QJ;1298;0;949.539;2016-10-09;1;86189655.03
689;ZP148931HB;1668;67;929.24;2013-06-28;8;54656038.32
690;OJ815204LS;860;35;949.865;2014-04-03;0;56042984.865
691;OJ815204LS;434;35;318.765;2014-04-03;0;2818838.895
692;QD850928VT;1393;60;852.367;2012-12-24;3;61638067.238
693;QD850928VT;1233;60;155.354;2012-12-24;3;14473866.118
694;QD850928VT;339;60;395.511;2012-12-24;3;15812925.291000001
695;NI375572BQ;847;10;27.753;2019-02-05;2;2112724.878
696;KU548334DD;1076;85;286.877;2014-12-15;6;28168165.753000002
697;KU548334DD;1967;85;594.187;2014-12-15;6;50158295.605000004
698;DP140049FQ;173;48;628.043;2016-07-08;8;39592458.763000004
699;JA958815QH;509;29;204.317;2016-05-15;5;17056791.794
700;FZ216280AR;1826;36;220.915;2022-11-05;7;17330339.919999998
701;XN969897OR;1674;51;858.218;2011-03-31;3;57125564.734
702;XN969897OR;979;51;794.111;2011-03-31;3;28214763.83
703;XN969897OR;1882;51;89.784;2011-03-31;3;132251.832
704;EG547129VJ;1345;26;926.51;2013-01-27;5;35289839.39
705;EG547129VJ;1468;26;691.845;2013-01-27;5;54247566.45
706;BT786929OA;1435;12;562.793;2013-10-30;3;46632465.187
707;EK663150NH;942;59;855.926;2018-08-01;6;10094791.244
708;EK663150NH;68;59;446.229;2018-08-01;6;5813025.183
709;EK663150NH;1664;59;164.585;2018-08-01;6;3317869.015
710;AL916563CQ;1965;95;458.848;2011-04-04;0;7823817.248000001
711;AL916563CQ;921;95;832.047;2011-04-04;0;55793743.632
712;XC860745OU;1757;66;836.651;2012-07-12;8;80454033.462
713;RH287858FA;873;42;271.525;2018-06-24;2;5723203.949999999
714;RH287858FA;1970;42;64.106;2018-06-24;2;3112795.042
715;FY704823WZ;651;70;141.788;2017-06-22;7;14083234.888
716;FY704823WZ;1108;70;568.758;2017-06-22;7;41532984.192
717;IY852728TK;376;82;592.253;2016-09-11;0;30714832.833
718;IY852728TK;499;82;51.283;2016-09-11;0;4436697.462
719;IY852728TK;845;82;972.157;2016-09-11;0;91097915.999
720;HM045957UC;1326;54;165.344;2015-08-11;6;2970404.96
721;HM045957UC;1461;54;644.32;2015-08-11;6;9236971.520000001
722;MO325688PX;249;37;298.915;2012-06-20;4;24849102.865000002
723;OX214231CB;1757;96;566.118;2014-06-07;0;54439039.116000004
724;OX214231CB;501;96;361.414;2014-06-07;0;21252950.27
725;QR551592BU;1344;24;763.611;2021-07-07;2;40732537.962
726;QR551592BU;1011;24;483.486;2021-07-07;2;9396550.41
727;EP175383SG;1160;84;697.257;2011-12-06;3;41857732.224
728;OV902019SX;655;92;113.713;2015-01-29;6;1300080.7289999998
729;OV902019SX;1206;92;369.841;2015-01-29;6;20107885.329
730;OV902019SX;269;92;331.502;2015-01-29;6;23549570.578
731;LP765740LC;346;83;10.316;2012-11-05;7;767427.8720000001
732;CL302282VV;909;96;669.444;2013-02-25;3;23231715.132
733;CL302282VV;1297;96;650.961;2013-02-25;3;18198916.677
734;CL302282VV;752;96;256.326;2013-02-25;3;20668847.01
735;ZM356954QF;888;22;526.959;2017-10-01;5;11495610.584999999
736;ZM356954QF;1796;22;333.976;2017-10-01;5;6951042.488
737;MY864331CD;1639;69;695.12;2012-12-06;8;3291393.2
738;MY864331CD;267;69;766.445;2012-12-06;8;71971484.83500001
739;MY864331CD;1567;69;68.545;2012-12-06;8;5075894.34
740;VA454575SC;55;39;473.611;2022-05-16;5;350945.751
741;VA454575SC;796;39;866.302;2022-05-16;5;35708102.138000004
742;QD598711BS;733;97;92.054;2018-04-11;4;6761918.624
743;QD598711BS;350;97;701.891;2018-04-11;4;63727491.453999996
744;QD598711BS;1522;97;544.153;2018-04-11;4;33644979.99
745;GI457372YZ;767;23;675.761;2013-03-06;6;33796159.132
746;GI457372YZ;510;23;637.462;2013-03-06;6;42066754.842
747;RM023913WJ;1326;58;226.915;2018-11-26;6;4076527.9749999996
748;RM023913WJ;1417;58;226.624;2018-11-26;6;2662605.376
749;DW431998QI;1178;38;101.19;2015-12-27;6;5146321.02
750;DW431998QI;1109;38;615.026;2015-12-27;6;51191074.084
751;EX224342QU;49;14;168.832;2011-06-27;2;13487988.479999999
752;EX224342QU;1382;14;935.71;2011-06-27;2;77623694.47
753;EX224342QU;790;14;938.692;2011-06-27;2;46616383.412
754;YX536244KN;1997;39;661.857;2011-09-25;6;53054457.12
755;YX536244KN;624;39;262.538;2011-09-25;6;10377864.602
756;XQ314003HH;1105;56;653.376;2012-08-18;5;14257317.695999999
757;LV062631SL;1453;14;464.697;2013-09-16;2;39396546.963
758;LV062631SL;1189;14;566.137;2013-09-16;2;18132235.836
759;LV062631SL;54;14;93.769;2013-09-16;2;5048241.653
760;IW852661VX;109;45;857.36;2017-11-28;3;67103852.480000004
761;IW852661VX;1826;45;958.807;2017-11-28;3;75216491.536
762;KK486730BN;1747;83;598.734;2022-12-11;1;50293057.266
763;AK847199XK;564;2;913.456;2019-03-21;0;55956487.648
764;UD283121WR;1719;20;111.748;2015-12-28;1;444868.788
765;UD283121WR;277;20;448.919;2015-12-28;1;42656732.298999995
766;UD283121WR;1028;20;408.197;2015-12-28;1;15896823.968
767;MZ620481OP;762;11;73.347;2015-04-28;4;145813.83599999998
768;MZ620481OP;951;11;465.361;2015-04-28;4;503520.602
769;AW468508VD;331;80;508.574;2022-09-27;3;49705479.89
770;AW468508VD;1318;80;501.282;2022-09-27;3;38582672.975999996
771;BM485850HH;1589;98;871.515;2013-06-18;4;8281135.53
772;EC367265UR;1121;17;837.531;2017-10-09;8;12807524.052
773;VE003634LZ;3;6;793.629;2014-08-22;8;40629043.026
774;VE003634LZ;525;6;498.037;2014-08-22;8;28863734.334999997
775;AR033707HW;1235;26;339.677;2021-05-08;7;21501214.423
776;TT542837KM;995;51;752.784;2022-11-09;4;54463169.616
777;TT542837KM;358;51;305.214;2022-11-09;4;19986633.576
778;TT542837KM;321;51;88.391;2022-11-09;4;5216218.083000001
779;RW871840DB;1076;0;620.573;2012-09-10;0;60933442.297
780;RW871840DB;677;0;668.172;2012-09-10;0;5720888.664
781;IU375932CL;1038;45;287.957;2022-03-21;6;24488727.151
782;IU375932CL;1907;45;361.441;2022-03-21;6;11996588.230999999
783;IU375932CL;1344;45;3.932;2022-03-21;6;209740.744
784;QE569182NA;978;72;720.518;2021-01-02;0;63587875.054000005
785;QE569182NA;224;72;758.211;2021-01-02;0;12238283.751
786;QE569182NA;347;72;987.427;2021-01-02;0;77004494.595
787;YD161642BR;724;18;49.592;2021-08-18;7;2210365.032
788;YD161642BR;209;18;908.02;2021-08-18;7;36437934.58
789;LP334480DA;399;7;399.149;2018-07-13;4;26675526.819
790;MC334898ID;1399;76;716.75;2019-05-21;4;31270369.0
791;MC334898ID;618;76;146.668;2019-05-21;4;3138255.196
792;MC334898ID;1714;76;932.221;2019-05-21;4;77557058.316
793;ER020309AB;1067;95;506.632;2013-04-24;4;30400453.16
794;ER020309AB;506;95;306.798;2013-04-24;4;22980704.19
795;ER020309AB;334;95;828.999;2013-04-24;4;29669874.21
796;KY671257RL;512;61;908.634;2014-05-14;6;81778877.268
797;FX518789MJ;262;4;989.712;2011-05-25;1;32959389.024
798;SM223428QD;470;38;38.518;2016-06-28;1;2910227.49
799;ZN211154GV;861;29;875.87;2017-08-06;2;83946884.28
800;VP205738JF;632;47;137.88;2015-06-15;0;2754980.28
801;WA017965OG;1963;70;758.872;2017-05-01;6;36036554.664
802;WA017965OG;87;70;86.904;2017-05-01;6;7121174.472
803;FL653626WZ;1565;87;422.161;2011-10-21;1;39230577.408
804;FL653626WZ;1158;87;647.517;2011-10-21;1;48985308.567
805;FL653626WZ;499;87;476.076;2011-10-21;1;41187239.064
806;SN645908YF;322;90;747.757;2015-06-16;6;9481558.76
807;SN645908YF;332;90;586.763;2015-06-16;6;41532845.429000005
808;IR726402AY;108;9;517.335;2020-10-26;3;14384499.675
809;IR726402AY;1092;9;950.386;2020-10-26;3;7977540.084
810;IR726402AY;245;9;513.642;2020-10-26;3;37362832.722
811;LI715966HT;1161;46;701.309;2022-05-18;8;46350914.427999996
812;LI715966HT;1605;46;388.779;2022-05-18;8;8656941.993
813;HL738327NW;1455;54;958.322;2016-04-29;8;88645743.322
814;WF309614SW;168;6;885.175;2021-01-25;0;54143499.224999994
815;JA445267JN;110;59;884.892;2016-05-05;2;56226922.572000004
816;JA445267JN;1637;59;182.194;2016-05-05;2;14643296.168
817;JA445267JN;1939;59;893.954;2016-05-05;2;57728867.458
818;HU836089EP;609;58;513.12;2015-01-01;2;21030223.2
819;HU836089EP;1901;58;558.814;2015-01-01;2;39712116.91
820;CZ839401HI;1717;90;298.006;2014-12-17;1;28048324.72
821;CZ839401HI;1921;90;386.248;2014-12-17;1;15096503.08
822;CZ839401HI;1105;90;997.767;2014-12-17;1;21772273.707000002
823;PV967430AI;1879;20;744.552;2017-01-18;6;45643271.256000005
824;PV967430AI;1856;20;895.29;2017-01-18;6;22026819.869999997
825;PV967430AI;1092;20;618.839;2017-01-18;6;5194534.566000001
826;HN716621XW;658;57;128.655;2012-10-23;6;12502564.245
827;JO759203TJ;176;40;932.083;2013-12-22;1;4534583.795
828;JO759203TJ;501;40;10.648;2013-12-22;1;626155.64
829;JO759203TJ;1349;40;80.568;2013-12-22;1;1692169.704
830;RL892148XM;1115;22;724.964;2013-03-08;7;40595084.144
831;RL892148XM;540;22;569.928;2013-03-08;7;32402686.512
832;RL892148XM;106;22;354.936;2013-03-08;7;23343430.847999997
833;LY214579KO;159;28;948.397;2015-04-25;8;27646720.947
834;LY214579KO;556;28;694.229;2015-04-25;8;57838300.677
835;LY214579KO;1266;28;238.172;2015-04-25;8;12205362.311999999
